,realtime_start,realtime_end,date,value
0,2024-08-13,2024-08-13,1971-04-02,7.33
1,2024-08-13,2024-08-13,1971-04-09,7.31
2,2024-08-13,2024-08-13,1971-04-16,7.31
3,2024-08-13,2024-08-13,1971-04-23,7.31
4,2024-08-13,2024-08-13,1971-04-30,7.29
5,2024-08-13,2024-08-13,1971-05-07,7.38
6,2024-08-13,2024-08-13,1971-05-14,7.42
7,2024-08-13,2024-08-13,1971-05-21,7.44
8,2024-08-13,2024-08-13,1971-05-28,7.46
9,2024-08-13,2024-08-13,1971-06-04,7.52
10,2024-08-13,2024-08-13,1971-06-11,7.52
11,2024-08-13,2024-08-13,1971-06-18,7.54
12,2024-08-13,2024-08-13,1971-06-25,7.54
13,2024-08-13,2024-08-13,1971-07-02,7.54
14,2024-08-13,2024-08-13,1971-07-09,7.54
15,2024-08-13,2024-08-13,1971-07-16,7.6
16,2024-08-13,2024-08-13,1971-07-23,7.65
17,2024-08-13,2024-08-13,1971-07-30,7.69
18,2024-08-13,2024-08-13,1971-08-06,7.66
19,2024-08-13,2024-08-13,1971-08-13,7.73
20,2024-08-13,2024-08-13,1971-08-20,7.71
21,2024-08-13,2024-08-13,1971-08-27,7.69
22,2024-08-13,2024-08-13,1971-09-03,7.71
23,2024-08-13,2024-08-13,1971-09-10,7.67
24,2024-08-13,2024-08-13,1971-09-17,7.7
25,2024-08-13,2024-08-13,1971-09-24,7.67
26,2024-08-13,2024-08-13,1971-10-01,7.67
27,2024-08-13,2024-08-13,1971-10-08,7.63
28,2024-08-13,2024-08-13,1971-10-15,7.63
29,2024-08-13,2024-08-13,1971-10-22,7.58
30,2024-08-13,2024-08-13,1971-10-29,7.63
31,2024-08-13,2024-08-13,1971-11-05,7.59
32,2024-08-13,2024-08-13,1971-11-12,7.56
33,2024-08-13,2024-08-13,1971-11-19,7.54
34,2024-08-13,2024-08-13,1971-11-26,7.51
35,2024-08-13,2024-08-13,1971-12-03,7.49
36,2024-08-13,2024-08-13,1971-12-10,7.47
37,2024-08-13,2024-08-13,1971-12-17,7.48
38,2024-08-13,2024-08-13,1971-12-24,7.48
39,2024-08-13,2024-08-13,1971-12-31,7.48
40,2024-08-13,2024-08-13,1972-01-07,7.46
41,2024-08-13,2024-08-13,1972-01-14,7.46
42,2024-08-13,2024-08-13,1972-01-21,7.43
43,2024-08-13,2024-08-13,1972-01-28,7.4
44,2024-08-13,2024-08-13,1972-02-04,7.35
45,2024-08-13,2024-08-13,1972-02-11,7.33
46,2024-08-13,2024-08-13,1972-02-18,7.31
47,2024-08-13,2024-08-13,1972-02-25,7.31
48,2024-08-13,2024-08-13,1972-03-03,7.32
49,2024-08-13,2024-08-13,1972-03-10,7.32
50,2024-08-13,2024-08-13,1972-03-17,7.31
51,2024-08-13,2024-08-13,1972-03-24,7.31
52,2024-08-13,2024-08-13,1972-03-31,7.23
53,2024-08-13,2024-08-13,1972-04-07,7.25
54,2024-08-13,2024-08-13,1972-04-14,7.29
55,2024-08-13,2024-08-13,1972-04-21,7.29
56,2024-08-13,2024-08-13,1972-04-28,7.33
57,2024-08-13,2024-08-13,1972-05-05,7.33
58,2024-08-13,2024-08-13,1972-05-12,7.38
59,2024-08-13,2024-08-13,1972-05-19,7.38
60,2024-08-13,2024-08-13,1972-05-26,7.4
61,2024-08-13,2024-08-13,1972-06-02,7.36
62,2024-08-13,2024-08-13,1972-06-09,7.38
63,2024-08-13,2024-08-13,1972-06-16,7.38
64,2024-08-13,2024-08-13,1972-06-23,7.36
65,2024-08-13,2024-08-13,1972-06-30,7.38
66,2024-08-13,2024-08-13,1972-07-07,7.38
67,2024-08-13,2024-08-13,1972-07-14,7.4
68,2024-08-13,2024-08-13,1972-07-21,7.4
69,2024-08-13,2024-08-13,1972-07-28,7.4
70,2024-08-13,2024-08-13,1972-08-04,7.35
71,2024-08-13,2024-08-13,1972-08-11,7.41
72,2024-08-13,2024-08-13,1972-08-18,7.42
73,2024-08-13,2024-08-13,1972-08-25,7.42
74,2024-08-13,2024-08-13,1972-09-01,7.42
75,2024-08-13,2024-08-13,1972-09-08,7.42
76,2024-08-13,2024-08-13,1972-09-15,7.42
77,2024-08-13,2024-08-13,1972-09-22,7.41
78,2024-08-13,2024-08-13,1972-09-29,7.43
79,2024-08-13,2024-08-13,1972-10-06,7.41
80,2024-08-13,2024-08-13,1972-10-13,7.41
81,2024-08-13,2024-08-13,1972-10-20,7.44
82,2024-08-13,2024-08-13,1972-10-27,7.42
83,2024-08-13,2024-08-13,1972-11-03,7.43
84,2024-08-13,2024-08-13,1972-11-10,7.42
85,2024-08-13,2024-08-13,1972-11-17,7.42
86,2024-08-13,2024-08-13,1972-11-24,7.44
87,2024-08-13,2024-08-13,1972-12-01,7.45
88,2024-08-13,2024-08-13,1972-12-08,7.43
89,2024-08-13,2024-08-13,1972-12-15,7.43
90,2024-08-13,2024-08-13,1972-12-22,7.45
91,2024-08-13,2024-08-13,1972-12-29,7.45
92,2024-08-13,2024-08-13,1973-01-05,7.44
93,2024-08-13,2024-08-13,1973-01-12,7.44
94,2024-08-13,2024-08-13,1973-01-19,7.44
95,2024-08-13,2024-08-13,1973-01-26,7.43
96,2024-08-13,2024-08-13,1973-02-02,7.43
97,2024-08-13,2024-08-13,1973-02-09,7.43
98,2024-08-13,2024-08-13,1973-02-16,7.45
99,2024-08-13,2024-08-13,1973-02-23,7.45
100,2024-08-13,2024-08-13,1973-03-02,7.45
101,2024-08-13,2024-08-13,1973-03-09,7.45
102,2024-08-13,2024-08-13,1973-03-16,7.45
103,2024-08-13,2024-08-13,1973-03-23,7.45
104,2024-08-13,2024-08-13,1973-03-30,7.49
105,2024-08-13,2024-08-13,1973-04-06,7.51
106,2024-08-13,2024-08-13,1973-04-13,7.54
107,2024-08-13,2024-08-13,1973-04-20,7.56
108,2024-08-13,2024-08-13,1973-04-27,7.56
109,2024-08-13,2024-08-13,1973-05-04,7.58
110,2024-08-13,2024-08-13,1973-05-11,7.64
111,2024-08-13,2024-08-13,1973-05-18,7.69
112,2024-08-13,2024-08-13,1973-05-24,7.7
113,2024-08-13,2024-08-13,1973-06-01,7.7
114,2024-08-13,2024-08-13,1973-06-08,7.73
115,2024-08-13,2024-08-13,1973-06-15,7.73
116,2024-08-13,2024-08-13,1973-06-22,7.75
117,2024-08-13,2024-08-13,1973-06-29,7.76
118,2024-08-13,2024-08-13,1973-07-06,7.89
119,2024-08-13,2024-08-13,1973-07-13,8.01
120,2024-08-13,2024-08-13,1973-07-20,8.12
121,2024-08-13,2024-08-13,1973-07-27,8.18
122,2024-08-13,2024-08-13,1973-08-03,8.26
123,2024-08-13,2024-08-13,1973-08-10,8.4
124,2024-08-13,2024-08-13,1973-08-17,8.55
125,2024-08-13,2024-08-13,1973-08-24,8.61
126,2024-08-13,2024-08-13,1973-08-31,8.66
127,2024-08-13,2024-08-13,1973-09-07,8.77
128,2024-08-13,2024-08-13,1973-09-14,8.81
129,2024-08-13,2024-08-13,1973-09-21,8.83
130,2024-08-13,2024-08-13,1973-09-28,8.85
131,2024-08-13,2024-08-13,1973-10-05,8.82
132,2024-08-13,2024-08-13,1973-10-12,8.83
133,2024-08-13,2024-08-13,1973-10-19,8.75
134,2024-08-13,2024-08-13,1973-10-26,8.68
135,2024-08-13,2024-08-13,1973-11-02,8.62
136,2024-08-13,2024-08-13,1973-11-09,8.59
137,2024-08-13,2024-08-13,1973-11-16,8.58
138,2024-08-13,2024-08-13,1973-11-23,8.57
139,2024-08-13,2024-08-13,1973-11-30,8.55
140,2024-08-13,2024-08-13,1973-12-07,8.53
141,2024-08-13,2024-08-13,1973-12-14,8.53
142,2024-08-13,2024-08-13,1973-12-21,8.53
143,2024-08-13,2024-08-13,1973-12-28,8.56
144,2024-08-13,2024-08-13,1974-01-04,8.56
145,2024-08-13,2024-08-13,1974-01-11,8.53
146,2024-08-13,2024-08-13,1974-01-18,8.55
147,2024-08-13,2024-08-13,1974-01-25,8.52
148,2024-08-13,2024-08-13,1974-02-01,8.48
149,2024-08-13,2024-08-13,1974-02-08,8.46
150,2024-08-13,2024-08-13,1974-02-15,8.46
151,2024-08-13,2024-08-13,1974-02-22,8.42
152,2024-08-13,2024-08-13,1974-03-01,8.41
153,2024-08-13,2024-08-13,1974-03-08,8.41
154,2024-08-13,2024-08-13,1974-03-15,8.4
155,2024-08-13,2024-08-13,1974-03-22,8.4
156,2024-08-13,2024-08-13,1974-03-29,8.41
157,2024-08-13,2024-08-13,1974-04-05,8.44
158,2024-08-13,2024-08-13,1974-04-12,8.53
159,2024-08-13,2024-08-13,1974-04-19,8.63
160,2024-08-13,2024-08-13,1974-04-26,8.73
161,2024-08-13,2024-08-13,1974-05-03,8.87
162,2024-08-13,2024-08-13,1974-05-10,8.98
163,2024-08-13,2024-08-13,1974-05-17,8.97
164,2024-08-13,2024-08-13,1974-05-24,9.01
165,2024-08-13,2024-08-13,1974-05-31,9.03
166,2024-08-13,2024-08-13,1974-06-07,9.06
167,2024-08-13,2024-08-13,1974-06-14,9.11
168,2024-08-13,2024-08-13,1974-06-21,9.07
169,2024-08-13,2024-08-13,1974-06-28,9.1
170,2024-08-13,2024-08-13,1974-07-05,9.14
171,2024-08-13,2024-08-13,1974-07-12,9.19
172,2024-08-13,2024-08-13,1974-07-19,9.37
173,2024-08-13,2024-08-13,1974-07-26,9.42
174,2024-08-13,2024-08-13,1974-08-02,9.47
175,2024-08-13,2024-08-13,1974-08-09,9.5
176,2024-08-13,2024-08-13,1974-08-16,9.6
177,2024-08-13,2024-08-13,1974-08-23,9.62
178,2024-08-13,2024-08-13,1974-08-30,9.74
179,2024-08-13,2024-08-13,1974-09-06,9.88
180,2024-08-13,2024-08-13,1974-09-13,9.92
181,2024-08-13,2024-08-13,1974-09-20,10.0
182,2024-08-13,2024-08-13,1974-09-27,10.03
183,2024-08-13,2024-08-13,1974-10-04,10.02
184,2024-08-13,2024-08-13,1974-10-11,9.96
185,2024-08-13,2024-08-13,1974-10-18,9.99
186,2024-08-13,2024-08-13,1974-10-25,9.94
187,2024-08-13,2024-08-13,1974-11-01,9.87
188,2024-08-13,2024-08-13,1974-11-08,9.81
189,2024-08-13,2024-08-13,1974-11-15,9.81
190,2024-08-13,2024-08-13,1974-11-22,9.73
191,2024-08-13,2024-08-13,1974-11-29,9.72
192,2024-08-13,2024-08-13,1974-12-06,9.69
193,2024-08-13,2024-08-13,1974-12-13,9.63
194,2024-08-13,2024-08-13,1974-12-20,9.58
195,2024-08-13,2024-08-13,1974-12-27,9.56
196,2024-08-13,2024-08-13,1975-01-03,9.6
197,2024-08-13,2024-08-13,1975-01-10,9.49
198,2024-08-13,2024-08-13,1975-01-17,9.43
199,2024-08-13,2024-08-13,1975-01-24,9.35
200,2024-08-13,2024-08-13,1975-01-31,9.29
201,2024-08-13,2024-08-13,1975-02-07,9.2
202,2024-08-13,2024-08-13,1975-02-14,9.13
203,2024-08-13,2024-08-13,1975-02-21,9.07
204,2024-08-13,2024-08-13,1975-02-28,9.02
205,2024-08-13,2024-08-13,1975-03-07,9.0
206,2024-08-13,2024-08-13,1975-03-14,8.89
207,2024-08-13,2024-08-13,1975-03-21,8.86
208,2024-08-13,2024-08-13,1975-03-28,8.86
209,2024-08-13,2024-08-13,1975-04-04,8.83
210,2024-08-13,2024-08-13,1975-04-11,8.81
211,2024-08-13,2024-08-13,1975-04-18,8.8
212,2024-08-13,2024-08-13,1975-04-25,8.84
213,2024-08-13,2024-08-13,1975-05-02,8.92
214,2024-08-13,2024-08-13,1975-05-09,8.88
215,2024-08-13,2024-08-13,1975-05-16,8.92
216,2024-08-13,2024-08-13,1975-05-23,8.92
217,2024-08-13,2024-08-13,1975-05-30,8.89
218,2024-08-13,2024-08-13,1975-06-06,8.89
219,2024-08-13,2024-08-13,1975-06-13,8.9
220,2024-08-13,2024-08-13,1975-06-20,8.88
221,2024-08-13,2024-08-13,1975-06-27,8.9
222,2024-08-13,2024-08-13,1975-07-03,8.88
223,2024-08-13,2024-08-13,1975-07-11,8.9
224,2024-08-13,2024-08-13,1975-07-18,8.89
225,2024-08-13,2024-08-13,1975-07-25,8.89
226,2024-08-13,2024-08-13,1975-08-01,8.89
227,2024-08-13,2024-08-13,1975-08-08,8.89
228,2024-08-13,2024-08-13,1975-08-15,8.93
229,2024-08-13,2024-08-13,1975-08-22,8.98
230,2024-08-13,2024-08-13,1975-08-29,9.02
231,2024-08-13,2024-08-13,1975-09-05,9.08
232,2024-08-13,2024-08-13,1975-09-12,9.16
233,2024-08-13,2024-08-13,1975-09-19,9.14
234,2024-08-13,2024-08-13,1975-09-26,9.14
235,2024-08-13,2024-08-13,1975-10-03,9.2
236,2024-08-13,2024-08-13,1975-10-10,9.21
237,2024-08-13,2024-08-13,1975-10-17,9.21
238,2024-08-13,2024-08-13,1975-10-24,9.26
239,2024-08-13,2024-08-13,1975-10-31,9.24
240,2024-08-13,2024-08-13,1975-11-07,9.19
241,2024-08-13,2024-08-13,1975-11-14,9.16
242,2024-08-13,2024-08-13,1975-11-21,9.12
243,2024-08-13,2024-08-13,1975-11-28,9.11
244,2024-08-13,2024-08-13,1975-12-05,9.11
245,2024-08-13,2024-08-13,1975-12-12,9.11
246,2024-08-13,2024-08-13,1975-12-19,9.08
247,2024-08-13,2024-08-13,1975-12-26,9.09
248,2024-08-13,2024-08-13,1976-01-02,9.1
249,2024-08-13,2024-08-13,1976-01-09,9.07
250,2024-08-13,2024-08-13,1976-01-16,9.01
251,2024-08-13,2024-08-13,1976-01-23,9.0
252,2024-08-13,2024-08-13,1976-01-30,8.9
253,2024-08-13,2024-08-13,1976-02-06,8.86
254,2024-08-13,2024-08-13,1976-02-13,8.83
255,2024-08-13,2024-08-13,1976-02-20,8.81
256,2024-08-13,2024-08-13,1976-02-27,8.75
257,2024-08-13,2024-08-13,1976-03-05,8.77
258,2024-08-13,2024-08-13,1976-03-12,8.75
259,2024-08-13,2024-08-13,1976-03-19,8.75
260,2024-08-13,2024-08-13,1976-03-26,8.75
261,2024-08-13,2024-08-13,1976-04-02,8.7
262,2024-08-13,2024-08-13,1976-04-09,8.7
263,2024-08-13,2024-08-13,1976-04-16,8.75
264,2024-08-13,2024-08-13,1976-04-23,8.75
265,2024-08-13,2024-08-13,1976-04-30,8.75
266,2024-08-13,2024-08-13,1976-05-07,8.75
267,2024-08-13,2024-08-13,1976-05-14,8.75
268,2024-08-13,2024-08-13,1976-05-21,8.78
269,2024-08-13,2024-08-13,1976-05-28,8.78
270,2024-08-13,2024-08-13,1976-06-04,8.78
271,2024-08-13,2024-08-13,1976-06-11,8.83
272,2024-08-13,2024-08-13,1976-06-18,8.88
273,2024-08-13,2024-08-13,1976-06-25,8.9
274,2024-08-13,2024-08-13,1976-07-02,8.93
275,2024-08-13,2024-08-13,1976-07-09,8.93
276,2024-08-13,2024-08-13,1976-07-16,8.93
277,2024-08-13,2024-08-13,1976-07-23,8.9
278,2024-08-13,2024-08-13,1976-07-30,8.98
279,2024-08-13,2024-08-13,1976-08-06,9.0
280,2024-08-13,2024-08-13,1976-08-13,9.0
281,2024-08-13,2024-08-13,1976-08-20,9.0
282,2024-08-13,2024-08-13,1976-08-27,9.0
283,2024-08-13,2024-08-13,1976-09-03,9.0
284,2024-08-13,2024-08-13,1976-09-10,8.97
285,2024-08-13,2024-08-13,1976-09-17,8.97
286,2024-08-13,2024-08-13,1976-09-24,8.97
287,2024-08-13,2024-08-13,1976-10-01,8.9
288,2024-08-13,2024-08-13,1976-10-08,8.95
289,2024-08-13,2024-08-13,1976-10-15,8.95
290,2024-08-13,2024-08-13,1976-10-22,8.95
291,2024-08-13,2024-08-13,1976-10-29,8.9
292,2024-08-13,2024-08-13,1976-11-05,8.85
293,2024-08-13,2024-08-13,1976-11-12,8.8
294,2024-08-13,2024-08-13,1976-11-19,8.8
295,2024-08-13,2024-08-13,1976-11-26,8.8
296,2024-08-13,2024-08-13,1976-12-03,8.8
297,2024-08-13,2024-08-13,1976-12-10,8.8
298,2024-08-13,2024-08-13,1976-12-17,8.8
299,2024-08-13,2024-08-13,1976-12-24,8.78
300,2024-08-13,2024-08-13,1976-12-31,8.78
301,2024-08-13,2024-08-13,1977-01-07,8.7
302,2024-08-13,2024-08-13,1977-01-14,8.73
303,2024-08-13,2024-08-13,1977-01-21,8.73
304,2024-08-13,2024-08-13,1977-01-28,8.73
305,2024-08-13,2024-08-13,1977-02-04,8.68
306,2024-08-13,2024-08-13,1977-02-11,8.7
307,2024-08-13,2024-08-13,1977-02-18,8.65
308,2024-08-13,2024-08-13,1977-02-25,8.65
309,2024-08-13,2024-08-13,1977-03-04,8.65
310,2024-08-13,2024-08-13,1977-03-11,8.7
311,2024-08-13,2024-08-13,1977-03-18,8.7
312,2024-08-13,2024-08-13,1977-03-25,8.7
313,2024-08-13,2024-08-13,1977-04-01,8.7
314,2024-08-13,2024-08-13,1977-04-08,8.75
315,2024-08-13,2024-08-13,1977-04-15,8.75
316,2024-08-13,2024-08-13,1977-04-22,8.78
317,2024-08-13,2024-08-13,1977-04-29,8.78
318,2024-08-13,2024-08-13,1977-05-06,8.78
319,2024-08-13,2024-08-13,1977-05-13,8.83
320,2024-08-13,2024-08-13,1977-05-20,8.85
321,2024-08-13,2024-08-13,1977-05-27,8.85
322,2024-08-13,2024-08-13,1977-06-03,8.85
323,2024-08-13,2024-08-13,1977-06-10,8.85
324,2024-08-13,2024-08-13,1977-06-17,8.85
325,2024-08-13,2024-08-13,1977-06-24,8.88
326,2024-08-13,2024-08-13,1977-07-01,8.95
327,2024-08-13,2024-08-13,1977-07-08,8.93
328,2024-08-13,2024-08-13,1977-07-15,8.95
329,2024-08-13,2024-08-13,1977-07-22,8.95
330,2024-08-13,2024-08-13,1977-07-29,8.93
331,2024-08-13,2024-08-13,1977-08-05,8.95
332,2024-08-13,2024-08-13,1977-08-12,8.95
333,2024-08-13,2024-08-13,1977-08-19,8.93
334,2024-08-13,2024-08-13,1977-08-26,8.93
335,2024-08-13,2024-08-13,1977-09-02,8.88
336,2024-08-13,2024-08-13,1977-09-09,8.9
337,2024-08-13,2024-08-13,1977-09-16,8.9
338,2024-08-13,2024-08-13,1977-09-23,8.9
339,2024-08-13,2024-08-13,1977-09-30,8.9
340,2024-08-13,2024-08-13,1977-10-07,8.93
341,2024-08-13,2024-08-13,1977-10-14,8.93
342,2024-08-13,2024-08-13,1977-10-21,8.93
343,2024-08-13,2024-08-13,1977-10-28,8.9
344,2024-08-13,2024-08-13,1977-11-04,8.9
345,2024-08-13,2024-08-13,1977-11-11,8.93
346,2024-08-13,2024-08-13,1977-11-18,8.93
347,2024-08-13,2024-08-13,1977-11-25,8.93
348,2024-08-13,2024-08-13,1977-12-02,8.95
349,2024-08-13,2024-08-13,1977-12-09,8.95
350,2024-08-13,2024-08-13,1977-12-16,8.95
351,2024-08-13,2024-08-13,1977-12-23,8.95
352,2024-08-13,2024-08-13,1977-12-30,9.0
353,2024-08-13,2024-08-13,1978-01-06,9.0
354,2024-08-13,2024-08-13,1978-01-13,9.03
355,2024-08-13,2024-08-13,1978-01-20,8.98
356,2024-08-13,2024-08-13,1978-01-27,9.05
357,2024-08-13,2024-08-13,1978-02-03,9.13
358,2024-08-13,2024-08-13,1978-02-10,9.15
359,2024-08-13,2024-08-13,1978-02-17,9.15
360,2024-08-13,2024-08-13,1978-02-24,9.15
361,2024-08-13,2024-08-13,1978-03-03,9.15
362,2024-08-13,2024-08-13,1978-03-10,9.15
363,2024-08-13,2024-08-13,1978-03-17,9.23
364,2024-08-13,2024-08-13,1978-03-24,9.23
365,2024-08-13,2024-08-13,1978-03-31,9.25
366,2024-08-13,2024-08-13,1978-04-07,9.28
367,2024-08-13,2024-08-13,1978-04-14,9.33
368,2024-08-13,2024-08-13,1978-04-21,9.38
369,2024-08-13,2024-08-13,1978-04-28,9.43
370,2024-08-13,2024-08-13,1978-05-05,9.48
371,2024-08-13,2024-08-13,1978-05-12,9.55
372,2024-08-13,2024-08-13,1978-05-19,9.58
373,2024-08-13,2024-08-13,1978-05-26,9.68
374,2024-08-13,2024-08-13,1978-06-02,9.68
375,2024-08-13,2024-08-13,1978-06-09,9.7
376,2024-08-13,2024-08-13,1978-06-16,9.73
377,2024-08-13,2024-08-13,1978-06-23,9.7
378,2024-08-13,2024-08-13,1978-06-30,9.73
379,2024-08-13,2024-08-13,1978-07-07,9.73
380,2024-08-13,2024-08-13,1978-07-14,9.73
381,2024-08-13,2024-08-13,1978-07-21,9.75
382,2024-08-13,2024-08-13,1978-07-28,9.75
383,2024-08-13,2024-08-13,1978-08-04,9.78
384,2024-08-13,2024-08-13,1978-08-11,9.78
